,points,faces,object_type
124,2702,2727,sphere
125,692,700,sphere
126,6098,6223,sphere
127,402,450,sphere
128,7373,7488,sphere
129,4553,4662,sphere
130,3110,3145,sphere
131,248,287,sphere
132,2864,2968,sphere
133,1178,1197,sphere
134,3528,3612,sphere
135,10167,10272,sphere
136,8242,8343,sphere
137,13314,13440,sphere
138,497,550,sphere
139,1978,2052,sphere
140,12321,12446,sphere
141,770,896,sphere
142,6433,6490,sphere
143,6388,6489,sphere
144,2110,2142,sphere
145,1377,1430,sphere
146,306,320,sphere
147,11762,11880,sphere
148,1298,1323,sphere
149,814,819,sphere
150,5618,5664,sphere
151,3235,3294,sphere
152,1282,1312,sphere
153,206,272,sphere
154,7828,7917,sphere
155,9488,9588,sphere
156,467,558,sphere
157,6377,6460,sphere
158,254,256,sphere
159,8354,8468,sphere
160,1102,1110,sphere
161,6324,6380,sphere
162,2172,2201,sphere
163,4507,4558,sphere
164,3863,3900,sphere
165,1800,1827,sphere
166,2716,2832,sphere
167,3332,3360,sphere
168,732,803,sphere
169,2110,2139,sphere
170,2432,2520,sphere
171,4326,4416,sphere
172,4545,4602,sphere
173,6554,6678,sphere
174,1586,1606,sphere
175,202,240,sphere
176,1766,1862,sphere
177,2906,3025,sphere
178,1122,1140,sphere
179,8530,8632,sphere
180,242,250,sphere
181,56,60,sphere
182,1138,1152,sphere
183,9648,9737,sphere
184,1178,1190,sphere
185,1462,1480,sphere
186,2628,2727,sphere
187,1380,1404,sphere
188,418,520,sphere
189,6842,6954,sphere
190,452,455,sphere
191,1359,1416,sphere
192,4294,4366,sphere
193,290,296,sphere
194,11314,11413,sphere
195,8838,8930,sphere
196,7906,8008,sphere
197,2913,2952,sphere
198,1304,1395,sphere
199,1556,1568,sphere
200,4650,4704,sphere
201,8134,8208,sphere
202,6322,6399,sphere
203,9632,9720,sphere
204,1986,2046,sphere
205,4682,4745,sphere
206,962,990,sphere
207,1674,1760,sphere
208,21,38,sphere
209,1666,1728,sphere
210,1892,2016,sphere
211,1997,2100,sphere
212,3070,3127,sphere
213,2852,2888,sphere
214,706,748,sphere
215,202,208,sphere
216,3628,3700,sphere
217,4655,4700,sphere
218,6482,6570,sphere
219,4097,4186,sphere
220,10866,10961,sphere
221,6839,6966,sphere
222,11174,11270,sphere
223,3632,3663,sphere
224,2054,2070,sphere
225,379,406,sphere
226,2466,2552,sphere
227,1745,1826,sphere
228,8990,9095,sphere
229,842,875,sphere
230,1766,1782,sphere
231,1442,1560,sphere
232,12864,12971,sphere
233,8426,8496,sphere
234,10100,10200,sphere
235,11602,11716,sphere
236,709,714,sphere
237,8702,8800,sphere
238,884,980,sphere
239,87,102,sphere
240,14466,14592,sphere
241,8318,8400,sphere
242,338,357,sphere
243,522,533,sphere
244,898,952,sphere
245,567,678,sphere
246,3571,3652,sphere
247,3362,3472,sphere
248,6701,6776,sphere
249,3195,3296,sphere
